tool,project,id,mutant-id,line_in_buggy,line_in_patched,structural_score,conceptual_score,sum,correct
RSRepair,Closure,67,0,[88],[88],[0.778],[0.565],1.343,False
kPAR,Chart,19,0,"[698, 973]","[698, 976]","[0.579, 0.632]","[0.552, 0.586]",1.174,True
RSRepair,Math,85,0,"[100, 199]","[100, 199]","[0.471, 0.0]","[0.35, 0.023]",0.422,False
CapGen,Lang,43,1,[421],[421],[0.943],[0.879],1.822,True
Kali,Closure,127,0,[170],[170],[0.889],[0.829],1.718,False
Kali,Closure,36,0,[1446],[1446],[0.714],[0.75],1.464,False
kPAR,Chart,4,0,"[4493, 4503]","[4493, 4504]","[0.619, 0.6]","[0.647, 0.583]",1.224,True
Nopol,Math,49,0,[666],[666],[0.321],[0.372],0.693,False
AVATAR,Closure,73,0,[1045],[1045],[1.0],[0.6],1.6,True
Arja,Closure,45,0,[594],[594],[1.0],[0.778],1.778,False
AVATAR,Chart,25,0,[173],[173],[0],[0],0.0,False
SequenceR,Math,85,10,[198],[198],[0.429],[0.882],1.311,False
SequenceR,Math,5,1,[305],[305],[0.846],[0.667],1.513,True
RSRepair,Closure,55,0,[90],[90],[0.769],[0.786],1.555,False
kPAR,Lang,41,0,[232],[232],[1.0],[0.938],1.938,False
Nopol,Math,58,0,[593],[593],[0.441],[0.4],0.841,False
SequenceR,Closure,92,8,[789],[789],[0.467],[1.0],1.467,False
Jaid,Closure,63,1,[98],[98],[0.736],[0.848],1.584,False
kPAR,Math,80,0,[840],[840],[1.0],[0.2],1.2,False
Jaid,Lang,38,3,[872],[872],[0.5],[0.579],1.079,True
GenProg,Chart,12,0,"[153, 664, 796]","[153, 664, 795]","[0.475, 0.571, 0.917]","[0.473, 0.444, 0.733]",1.204,False
Jaid,Math,85,4,[198],[198],[0.5],[0.786],1.286,False
SOFix,Math,80,1,[1135],[1135],[0.825],[0.9],1.725,True
Arja,Closure,115,0,[731],[731],[0.938],[0.75],1.688,True
AVATAR,Lang,58,0,[454],[454],[0.758],[0.762],1.52,False
jKali,Closure,63,0,[97],[97],[0.619],[0.607],1.226,False
kPAR,Math,62,0,[162],[162],[0.744],[0.839],1.583,False
Jaid,Lang,55,2,[118],[118],[0.441],[0.632],1.073,False
kPAR,Math,40,0,[260],[260],[0.2],[0.818],1.018,False
kPAR,Closure,73,0,[1045],[1045],[1.0],[0.6],1.6,True
kPAR,Closure,63,0,[97],[97],[0.889],[0.964],1.853,False
jGenProg,Chart,5,0,[563],[563],[0.429],[0.632],1.061,False
TBar,Math,15,0,[1541],[1541],[0.543],[0.7],1.243,False
jKali,Lang,27,0,[488],[488],[0.773],[0.762],1.535,False
CapGen,Math,85,1,[198],[198],[0.556],[0.833],1.389,True
TBar,Lang,7,0,[449],[449],[0.464],[0.759],1.223,True
TBar,Math,82,0,[62],[62],[0.632],[0.764],1.396,False
Kali,Closure,20,0,[1459],[1459],[0.714],[0.75],1.464,False
Jaid,Math,85,2,[198],[198],[0.514],[0.805],1.319,False
Jaid,Math,5,3,[300],[300],[0.5],[0.647],1.147,True
GenProg,Closure,75,0,"[375, 303, 263]","[375, 303, 263]","[0.0, 0.769, 0.364]","[0.0, 0.917, 0.435]",0.828,False
SequenceR,Closure,92,10,[789],[789],[0.467],[0.727],1.194,False
jMutRepair,Closure,21,0,[120],[120],[1.0],[1.0],2.0,False
SketchFix,Closure,126,1,[141],[141],[0.68],[0.815],1.495,True
TBar,Lang,44,0,[193],[193],[0.73],[0.857],1.587,False
FixMiner,Math,63,0,[417],[417],[0.357],[0.533],0.89,False
AVATAR,Math,89,0,[110],[110],[0.522],[0.44],0.962,True
SimFix,Lang,33,0,[910],[910],[0.809],[0.875],1.684,True
FixMiner,Closure,19,0,[175],[175],[0.364],[0.154],0.518,False
Arja,Chart,14,0,"[2265, 2481, 2159, 2378]","[2265, 2481, 2159, 2377]","[0.571, 0.562, 0.381, 0.462]","[0.583, 0.611, 0.429, 0.556]",1.039,False
TBar,Lang,20,0,[3298],[3298],[0.37],[0.6],0.97,False
CapGen,Math,80,1,[1136],[1136],[1.0],[0.893],1.893,False
AVATAR,Closure,45,0,[735],[735],[0.419],[0.618],1.037,False
Jaid,Math,50,1,[187],[187],[0.167],[0.2],0.367,True
jGenProg,Math,53,0,"[153, 175, 216]","[153, 178, 219]","[0.267, 0.333, 0.391]","[0.531, 1.0, 0.87]",1.131,True
SimFix,Lang,61,0,[1778],[1778],[1.0],[0.861],1.861,False
SketchFix,Math,82,1,[82],[82],[1.0],[0.961],1.961,False
Nopol,Math,41,0,[217],[217],[0.692],[0.727],1.419,False
kPAR,Chart,25,0,[109],[109],[0.639],[0.854],1.493,False
SimFix,Closure,126,0,[142],[142],[0.826],[0.88],1.706,False
Arja,Math,58,0,[121],[121],[0.667],[0.81],1.477,True
SimFix,Lang,43,0,[422],[422],[0.939],[0.781],1.72,True
Kali,Chart,5,0,[563],[563],[0.882],[0.789],1.671,False
RSRepair,Lang,16,0,[545],[545],[0.364],[0.235],0.599,False
Jaid,Closure,33,1,[557],[557],[0.062],[0.0],0.062,True
SequenceR,Closure,92,6,[789],[789],[1.0],[0.636],1.636,False
CapGen,Math,65,1,[258],[258],[0.514],[0.889],1.403,True
SequenceR,Chart,1,4,[1797],[1797],[0.625],[0.88],1.505,False
TBar,Math,95,0,[147],[147],[1.0],[1.0],2.0,False
Arja,Closure,10,0,"[191, 1462]","[191, 1462]","[0.769, 0.846]","[0.88, 0.857]",1.676,False
SimFix,Math,70,0,[72],[72],[0.826],[1.0],1.826,True
SequenceR,Closure,73,2,[1045],[1045],[0.133],[0.5],0.633,True
FixMiner,Math,70,0,[72],[72],[0.826],[1.0],1.826,True
Jaid,Chart,9,2,[947],[947],[0.156],[0.229],0.385,False
Arja,Closure,124,0,[177],[177],[0.8],[0.857],1.657,False
Kali,Closure,61,0,[1503],[1503],[0.714],[0.75],1.464,False
SketchFix,Math,33,1,[338],[338],[1.0],[0.865],1.865,True
Arja,Closure,133,0,[1838],[1838],[0.714],[0.615],1.329,False
kPAR,Math,88,0,[338],[338],[1.0],[0.941],1.941,False
Kali,Closure,67,0,[100],[100],[0.75],[0.7],1.45,False
jMutRepair,Math,50,0,[187],[187],[1.0],[0.5],1.5,False
Arja,Closure,46,0,"[86, 383, 110, 175]","[86, 383, 110, 175]","[0.65, 0.714, 1.0, 0.156]","[0.636, 0.471, 0.939, 0.226]",1.198,False
Jaid,Closure,62,1,[98],[98],[0.736],[0.824],1.56,True
CapGen,Math,80,3,[1136],[1136],[0.75],[0.862],1.612,False
GenProg,Math,28,0,[145],[145],[0.938],[0.833],1.771,False
Arja,Math,81,0,"[1528, 1544]","[1528, 1542]","[0.692, 0.368]","[0.286, 0.417]",0.882,False
SequenceR,Chart,1,3,[1797],[1797],[0.526],[0.846],1.372,False
Cardumen,Closure,63,0,[97],[97],[0.605],[0.679],1.284,False
TBar,Math,89,0,[110],[110],[0.522],[0.44],0.962,True
Kali,Closure,117,0,[1805],[1805],[0.429],[0.421],0.85,False
CapGen,Math,63,2,[417],[417],[0.355],[0.667],1.022,False
kPAR,Closure,115,0,[730],[730],[0.52],[0.69],1.21,False
Jaid,Closure,73,1,[1045],[1045],[1.0],[0.6],1.6,True
Arja,Closure,129,0,[1546],[1546],[0.92],[0.905],1.825,False
Arja,Closure,7,0,[336],[336],[1.0],[0.938],1.938,False
Jaid,Lang,55,3,[115],[115],[0.515],[0.703],1.218,False
Jaid,Math,80,3,[1136],[1136],[0.525],[0.562],1.087,False
Arja,Math,74,0,"[253, 286]","[253, 287]","[0.13, 0.719]","[0.125, 0.717]",0.845,False
DynaMoth,Math,32,0,[136],[136],[0.719],[0.792],1.511,False
SimFix,Math,85,0,[198],[198],[0.378],[0.604],0.982,False
DynaMoth,Chart,13,0,"[444, 452]","[444, 453]","[0.78, 0.844]","[0.704, 0.667]",1.498,False
SimFix,Math,8,0,[189],[189],[0.818],[0.828],1.646,False
AVATAR,Math,81,0,[1533],[1533],[1.0],[0.889],1.889,False
GenProg,Math,95,0,"[179, 75, 148]","[179, 75, 151]","[0.538, 0.333, 1.0]","[0.52, 0.314, 0.857]",1.187,False
kPAR,Closure,62,0,[97],[97],[0.889],[0.964],1.853,False
Jaid,Lang,38,2,[872],[872],[0.76],[0.794],1.554,True
SimFix,Closure,108,0,[1834],[1834],[0.75],[0.714],1.464,False
Kali,Closure,55,0,[79],[79],[0.667],[0.714],1.381,False
Jaid,Chart,26,2,[1191],[1191],[0.333],[0.375],0.708,True
kPAR,Lang,27,0,[489],[489],[1.0],[0.864],1.864,False
TBar,Lang,27,0,[488],[488],[1.0],[0.857],1.857,False
Jaid,Lang,45,1,[610],[610],[0.207],[0.381],0.588,True
SimFix,Lang,39,0,[3676],[3676],[0.688],[0.633],1.321,True
jGenProg,Chart,25,0,[207],[207],[0.323],[0.432],0.755,False
SimFix,Chart,18,0,[318],[318],[1.0],[1.0],2.0,False
CapGen,Math,85,2,[198],[198],[1.0],[1.0],2.0,False
CapGen,Math,80,1,[1135],[1135],[0.825],[0.9],1.725,True
jGenProg,Math,95,0,[147],[147],[0.692],[0.889],1.581,False
Arja,Lang,16,0,[545],[545],[0.364],[0.235],0.599,False
GenProg,Math,40,0,"[296, 299, 393]","[296, 299, 396]","[0.778, 0.529, 0.516]","[0.731, 0.556, 0.675]",1.262,False
jKali,Closure,62,0,[97],[97],[0.619],[0.607],1.226,False
TBar,Math,79,0,[1624],[1624],[1.0],[0.704],1.704,True
Kali,Closure,50,0,[1609],[1609],[0.714],[0.75],1.464,False
kPAR,Math,15,0,[1541],[1541],[0.514],[0.727],1.241,False
jMutRepair,Math,52,0,[344],[344],[1.0],[0.88],1.88,False
TBar,Closure,107,0,[861],[861],[0.455],[0.25],0.705,False
TBar,Lang,18,0,[495],[495],[0.5],[0.826],1.326,False
ACS,Time,15,0,[138],[138],[0.414],[0.708],1.122,True
TBar,Chart,14,0,[2293],[2293],[0.643],[0.897],1.54,False
SimFix,Closure,22,0,[113],[113],[0.897],[0.917],1.814,False
CapGen,Lang,59,11,[880],[880],[0.783],[0.83],1.613,False
SequenceR,Closure,92,5,[789],[789],[1.0],[0.636],1.636,False
Kali,Chart,26,0,[2544],[2544],[0.5],[0.2],0.7,False
Arja,Closure,75,0,"[349, 1016, 1155]","[349, 1016, 1151]","[0.583, 0.733, 0.216]","[0.667, 0.529, 0.333]",1.02,False
ACS,Math,28,0,[115],[115],[0.5],[0.625],1.125,False
CapGen,Lang,59,5,[884],[884],[0.767],[0.75],1.517,False
Arja,Closure,33,0,[261],[261],[0.846],[0.8],1.646,False
TBar,Closure,73,0,[1045],[1045],[1.0],[0.6],1.6,True
SimFix,Closure,106,0,[1309],[1309],[0.737],[0.667],1.404,False
Kali,Closure,5,0,[1440],[1440],[0.714],[0.75],1.464,False
jKali,Chart,5,0,[563],[563],[0.882],[0.789],1.671,False
Kali,Closure,122,0,[252],[252],[0.333],[0.588],0.921,False
RSRepair,Math,81,0,[1536],[1536],[0.711],[0.769],1.48,False
RSRepair,Math,33,0,[338],[338],[0.595],[0.676],1.271,False
GenProg,Closure,22,0,[116],[116],[0.341],[0.69],1.031,False
CapGen,Lang,43,3,[422],[422],[0.939],[0.781],1.72,True
kPAR,Closure,129,0,[1546],[1546],[0.767],[0.913],1.68,False
GenProg,Closure,112,0,[1062],[1062],[0.429],[0.579],1.008,False
kPAR,Lang,16,0,[490],[490],[0.695],[0.788],1.483,False
kPAR,Lang,20,0,[3298],[3298],[0.347],[0.485],0.832,False
SimFix,Math,41,0,[520],[520],[0.333],[0.824],1.157,True
SequenceR,Math,59,1,[3482],[3482],[1.0],[1.0],2.0,False
Arja,Math,82,0,"[63, 352]","[63, 352]","[0.843, 0.143]","[0.795, 0.3]",1.04,False
DynaMoth,Chart,1,0,[1797],[1797],[0.913],[0.875],1.788,False
TBar,Lang,22,0,[584],[584],[1.0],[0.75],1.75,False
Cardumen,Math,5,0,[340],[340],[0.317],[0.552],0.869,False
Nopol,Lang,46,0,[244],[244],[0.571],[0.5],1.071,True
Arja,Closure,55,0,"[88, 117]","[88, 116]","[0.636, 0.643]","[0.615, 0.6]",1.247,False
TBar,Chart,25,0,[173],[173],[0],[0],0.0,False
Kali,Closure,49,0,[1609],[1609],[0.714],[0.75],1.464,False
jKali,Closure,22,0,[116],[116],[0.4],[0.522],0.922,False
Arja,Math,35,0,"[51, 65]","[51, 67]","[0.222, 0.387]","[0.529, 0.512]",0.825,False
Cardumen,Math,73,0,[138],[138],[0.529],[0.364],0.893,False
SequenceR,Chart,1,2,[1797],[1797],[0.625],[0.88],1.505,False
CapGen,Lang,59,1,[880],[880],[0.818],[0.911],1.729,False
Arja,Closure,112,0,"[1071, 1359]","[1071, 1319]","[0.467, 0.625]","[0.429, 0.771]",1.146,False
GenProg,Lang,7,0,[453],[453],[0.279],[0.512],0.791,False
SOFix,Math,57,1,[175],[175],[1.0],[0.946],1.946,True
Jaid,Math,5,2,[305],[305],[0.417],[0.333],0.75,True
CapGen,Math,5,1,[305],[305],[0.478],[0.429],0.907,True
RSRepair,Closure,22,0,[112],[112],[0.238],[0.328],0.566,False
SimFix,Closure,21,0,[119],[119],[0.907],[0.921],1.828,False
SimFix,Math,63,0,[417],[417],[0.317],[0.5],0.817,False
Kali,Math,95,0,[145],[145],[0.8],[0.824],1.624,False
FixMiner,Closure,129,0,[1546],[1546],[0.767],[0.913],1.68,False
GenProg,Closure,67,0,[84],[84],[0.367],[0.474],0.841,False
Kali,Closure,33,0,[570],[570],[0.806],[0.825],1.631,False
jGenProg,Math,50,0,[188],[188],[0.094],[0.048],0.142,False
Kali,Closure,121,0,[1459],[1459],[0.714],[0.75],1.464,False
jKali,Closure,21,0,[118],[118],[0.221],[0.259],0.48,False
Jaid,Lang,55,1,[118],[118],[0.588],[0.857],1.445,True
FixMiner,Chart,19,0,"[698, 973]","[698, 976]","[0.579, 0.632]","[0.552, 0.586]",1.174,True
RSRepair,Closure,121,0,[86],[86],[0.655],[0.694],1.349,False
Jaid,Closure,33,2,[572],[572],[0.3],[0.558],0.858,False
FixMiner,Math,20,0,[240],[240],[0.6],[0.6],1.2,False
GenProg,Closure,130,0,[179],[179],[0.711],[0.581],1.292,False
SequenceR,Math,85,9,[198],[198],[0.429],[0.889],1.318,False
SequenceR,Closure,93,3,[789],[789],[1.0],[0.636],1.636,False
SequenceR,Closure,123,1,[285],[285],[0.818],[0.812],1.63,False
TBar,Chart,5,0,[527],[527],[0.63],[0.778],1.408,False
Kali,Closure,22,0,[111],[111],[0.778],[0.853],1.631,False
SimFix,Closure,19,0,[211],[211],[1.0],[0.917],1.917,False
RSRepair,Closure,21,0,[118],[118],[0.298],[0.412],0.71,False
Cardumen,Math,85,0,[181],[181],[0.237],[0.391],0.628,False
DynaMoth,Math,105,0,[107],[107],[0.429],[0.6],1.029,False
AVATAR,Closure,22,0,[111],[111],[1.0],[0.971],1.971,False
SequenceR,Closure,18,1,[1288],[1288],[0.333],[0.905],1.238,False
kPAR,Chart,5,0,[563],[563],[0.698],[0.714],1.412,False
SequenceR,Lang,6,2,[95],[95],[0.742],[0.882],1.624,False
FixMiner,Lang,57,0,[223],[223],[0.625],[0.609],1.234,False
Jaid,Lang,51,6,[672],[672],[0.195],[0.5],0.695,True
Kali,Math,2,0,[137],[137],[0.84],[0.824],1.664,False
AVATAR,Closure,2,0,"[1574, 1588]","[1574, 1589]","[0.758, 0.625]","[0.822, 0.6]",1.402,True
TBar,Math,81,0,[1533],[1533],[0.857],[0.857],1.714,False
Kali,Closure,31,0,[1459],[1459],[0.714],[0.75],1.464,False
SimFix,Math,79,0,[1624],[1624],[1.0],[0.704],1.704,True
jGenProg,Math,73,0,[134],[134],[0.667],[0.733],1.4,False
AVATAR,Math,2,0,[130],[130],[1.0],[0.896],1.896,False
SequenceR,Math,85,17,[198],[198],[0.405],[0.789],1.194,False
SimFix,Lang,27,0,[466],[466],[0.677],[0.63],1.307,False
Arja,Closure,125,0,[203],[203],[0.588],[0.682],1.27,False
Nopol,Lang,58,0,[464],[464],[0.375],[0.615],0.99,False
kPAR,Chart,15,0,[280],[280],[0.7],[0.647],1.347,False
CapGen,Math,80,8,[1135],[1135],[0.719],[0.844],1.563,False
SimFix,Lang,16,0,[448],[448],[0.737],[0.786],1.523,False
RSRepair,Math,58,0,"[592, 615]","[592, 610]","[0.72, 0.262]","[0.619, 0.375]",0.988,False
DynaMoth,Math,50,0,[188],[188],[0.094],[0.048],0.142,True
Jaid,Chart,24,2,[126],[126],[0.489],[0.625],1.114,True
Arja,Closure,114,0,[1599],[1599],[0.385],[0.429],0.814,False
SequenceR,Closure,73,1,[1045],[1045],[0.182],[0.25],0.432,True
SequenceR,Closure,18,3,[1288],[1288],[0.31],[0.857],1.167,False
Jaid,Lang,51,5,[672],[672],[0.195],[0.45],0.645,True
jMutRepair,Math,57,0,[85],[85],[0.8],[0.941],1.741,False
Arja,Math,28,0,[145],[145],[0.938],[0.833],1.771,False
SimFix,Math,53,0,[153],[153],[0.417],[0.515],0.932,True
SimFix,Math,1,0,[303],[303],[0.182],[0.029],0.211,False
SimFix,Math,80,0,[1137],[1137],[1.0],[0.923],1.923,False
SimFix,Chart,20,0,[95],[95],[0.963],[0.818],1.781,True
AVATAR,Closure,38,0,[245],[245],[1.0],[0.905],1.905,True
TBar,Lang,58,0,[452],[452],[0.588],[0.85],1.438,False
kPAR,Chart,3,0,[885],[885],[0.5],[0.765],1.265,False
kPAR,Chart,13,0,[444],[444],[0.717],[0.742],1.459,False
SimFix,Math,75,0,[303],[303],[1.0],[0.923],1.923,True
Arja,Closure,116,0,"[197, 555, 1459]","[197, 555, 1459]","[0.462, 1.0, 0.846]","[0.492, 0.889, 0.857]",1.515,False
kPAR,Math,58,0,[121],[121],[0.667],[0.81],1.477,True
Kali,Math,50,0,[187],[187],[0.0],[0.5],0.5,True
Jaid,Lang,51,4,[677],[677],[0.5],[0.567],1.067,True
ACS,Lang,35,0,"[3300, 3574]","[3300, 3574]","[0.611, 0.674]","[0.731, 0.781]",1.398,False
DynaMoth,Time,11,0,"[309, 316]","[309, 317]","[0.292, 0.895]","[0.471, 1.0]",1.329,False
Jaid,Math,82,3,[84],[84],[0.667],[0.838],1.505,False
SequenceR,Math,85,16,[198],[198],[0.405],[0.865],1.27,False
TBar,Lang,33,0,[910],[910],[0.735],[0.769],1.504,True
Kali,Closure,10,0,[1271],[1271],[0.41],[0.5],0.91,False
SequenceR,Math,82,2,[82],[82],[0.853],[0.98],1.833,True
DynaMoth,Math,82,0,[63],[63],[0.961],[0.9],1.861,False
Jaid,Chart,26,1,[1190],[1190],[0.75],[0.594],1.344,False
TBar,Chart,9,0,[944],[944],[0.52],[0.72],1.24,True
SequenceR,Math,57,1,[175],[175],[1.0],[0.946],1.946,True
kPAR,Lang,45,0,[622],[622],[0.529],[0.84],1.369,False
AVATAR,Closure,108,0,[422],[422],[1.0],[0.957],1.957,False
Arja,Closure,22,0,"[103, 117]","[103, 111]","[0.2, 0.895]","[0.222, 0.947]",1.132,False
jKali,Lang,7,0,[453],[453],[0.95],[0.946],1.896,False
kPAR,Chart,26,0,[2538],[2538],[0.636],[0.765],1.401,False
CapGen,Lang,59,13,[883],[883],[0.814],[0.816],1.63,False
TBar,Lang,13,0,[254],[254],[0],[0],0.0,False
kPAR,Lang,7,0,[449],[449],[0.464],[0.759],1.223,True
FixMiner,Chart,3,0,[885],[885],[0.5],[0.765],1.265,False
SOFix,Lang,51,1,[682],[682],[0.833],[0.778],1.611,True
Cardumen,Math,63,0,"[417, 428, 441, 455, 476, 508, 522, 547, 584, 617, 642, 687]","[417, 427, 438, 450, 469, 488, 499, 510, 533, 554, 568, 598]","[0.321, 0.03, 0.032, 0.032, 0.0, 0.029, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.467, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.084,False
Jaid,Math,85,3,[198],[198],[0.543],[0.721],1.264,False
SOFix,Lang,59,1,[884],[884],[1.0],[0.919],1.919,True
CapGen,Lang,59,3,[879],[879],[0.783],[0.826],1.609,False
jMutRepair,Math,81,0,[1537],[1537],[0.628],[0.826],1.454,False
RSRepair,Math,103,0,"[170, 180]","[170, 192]","[0.119, 0.7]","[0.129, 0.5]",0.724,False
AVATAR,Lang,10,0,[307],[307],[0.697],[0.615],1.312,True
AVATAR,Chart,15,0,[212],[212],[0],[0],0.0,False
AVATAR,Chart,13,0,[85],[85],[0.435],[0.4],0.835,False
AVATAR,Math,62,0,[162],[162],[1.0],[0.938],1.938,False
RSRepair,Closure,45,0,[594],[594],[1.0],[0.778],1.778,False
SketchFix,Lang,59,1,[884],[884],[1.0],[0.919],1.919,True
GenProg,Math,85,0,"[100, 190, 199]","[100, 190, 200]","[0.471, 0.926, 0.0]","[0.517, 0.882, 0.023]",0.94,False
Jaid,Math,5,1,[303],[303],[0.4],[0.714],1.114,True
Jaid,Lang,51,1,[677],[677],[0.557],[0.517],1.074,True
Nopol,Math,73,0,[225],[225],[0.288],[0.655],0.943,False
Kali,Closure,115,0,[730],[730],[0.471],[0.44],0.911,True
TBar,Lang,51,0,[672],[672],[1.0],[1.0],2.0,False
SequenceR,Math,85,15,[198],[198],[0.417],[0.789],1.206,False
Arja,Closure,67,0,[87],[87],[0.611],[0.64],1.251,False
Arja,Chart,3,0,"[583, 667]","[583, 658]","[0.471, 0.733]","[0.576, 0.727]",1.253,False
ACS,Lang,7,0,[453],[453],[0.667],[0.787],1.454,True
Nopol,Time,14,0,[210],[210],[0.517],[0.577],1.094,False
DynaMoth,Math,58,0,[605],[605],[0.483],[0.429],0.912,False
SequenceR,Math,75,1,[303],[303],[0.391],[0.786],1.177,True
kPAR,Math,42,0,[196],[196],[1.0],[0.886],1.886,False
Kali,Closure,132,0,[1446],[1446],[0.714],[0.75],1.464,False
SimFix,Lang,12,0,[231],[231],[0.643],[0.781],1.424,False
TBar,Lang,59,0,[884],[884],[1.0],[0.919],1.919,True
SequenceR,Math,30,1,[173],[173],[1.0],[0.789],1.789,True
SimFix,Math,72,0,[114],[114],[1.0],[0.64],1.64,False
Jaid,Lang,51,2,[672],[672],[0.25],[0.5],0.75,True
TBar,Lang,57,0,[223],[223],[0.6],[0.867],1.467,True
DynaMoth,Math,20,0,[787],[787],[0.781],[0.755],1.536,False
kPAR,Math,2,0,[130],[130],[0.8],[0.894],1.694,False
Jaid,Math,53,1,[153],[153],[0.355],[0.515],0.87,True
Jaid,Chart,26,2,[1190],[1190],[0.611],[0.75],1.361,False
jKali,Chart,25,0,[207],[207],[0.323],[0.432],0.755,False
GenProg,Math,31,0,"[177, 215, 86]","[177, 215, 86]","[0.562, 0.5, 1.0]","[0.312, 0.606, 0.917]",1.299,False
Nopol,Math,7,0,[351],[351],[0.343],[0.548],0.891,False
RSRepair,Math,95,0,[146],[146],[0.5],[0.68],1.18,False
GenProg,Closure,55,0,[66],[66],[0.448],[0.4],0.848,False
CapGen,Math,80,2,[1135],[1135],[1.0],[0.9],1.9,False
TBar,Math,2,0,[293],[293],[1.0],[0.84],1.84,False
SequenceR,Closure,86,5,[2465],[2465],[0.308],[0.565],0.873,False
Kali,Closure,26,0,[1459],[1459],[0.714],[0.75],1.464,False
SequenceR,Math,85,7,[198],[198],[0.429],[0.882],1.311,False
SOFix,Math,75,1,[303],[303],[1.0],[0.923],1.923,True
SimFix,Math,6,0,[93],[93],[1.0],[0.818],1.818,False
SequenceR,Math,85,2,[198],[198],[0.556],[0.857],1.413,False
CapGen,Lang,59,12,[883],[883],[0.814],[0.816],1.63,False
CapGen,Math,5,3,[345],[345],[0.344],[0.636],0.98,False
SequenceR,Closure,93,4,[789],[789],[1.0],[0.889],1.889,False
FixMiner,Math,30,0,[173],[173],[1.0],[0.889],1.889,True
Nopol,Math,81,0,[1480],[1480],[0.158],[0.31],0.468,False
SimFix,Chart,3,0,[1056],[1056],[0.686],[0.829],1.515,False
Arja,Chart,13,0,[322],[322],[0.95],[0.871],1.821,False
jKali,Math,50,0,[187],[187],[0.2],[0.0],0.2,True
Kali,Math,31,0,[177],[177],[0.75],[0.733],1.483,False
jKali,Closure,126,0,[141],[141],[0.65],[0.783],1.433,True
AVATAR,Math,104,0,[162],[162],[1.0],[0.917],1.917,False
Kali,Closure,130,0,[476],[476],[0.375],[0.636],1.011,False
SequenceR,Closure,86,3,[2465],[2465],[0.444],[0.765],1.209,False
Jaid,Lang,45,2,[610],[610],[0.207],[0.381],0.588,False
Kali,Closure,29,0,[1459],[1459],[0.714],[0.75],1.464,False
CapGen,Math,75,1,[303],[303],[1.0],[0.923],1.923,True
SOFix,Math,33,1,[338],[338],[1.0],[0.865],1.865,True
Jaid,Closure,31,1,[1285],[1285],[0.846],[0.773],1.619,True
Kali,Closure,12,0,[400],[400],[0.7],[0.708],1.408,False
jKali,Math,2,0,[137],[137],[0.84],[0.824],1.664,False
TBar,Closure,126,0,[143],[143],[1.0],[0.76],1.76,False
TBar,Closure,22,0,[114],[114],[1.0],[1.0],2.0,False
ACS,Math,5,0,[305],[305],[0.355],[0.538],0.893,True
Nopol,Chart,5,0,[563],[563],[0.833],[0.75],1.583,False
TBar,Closure,12,0,[112],[112],[0.684],[0.704],1.388,False
TBar,Closure,133,0,[959],[959],[0.692],[0.917],1.609,False
kPAR,Lang,18,0,[495],[495],[0.5],[0.826],1.326,False
RSRepair,Closure,129,0,[1546],[1546],[0.92],[0.905],1.825,False
SequenceR,Chart,9,1,[944],[944],[0.667],[0.857],1.524,True
RSRepair,Closure,61,0,[1503],[1503],[0.846],[0.857],1.703,False
Jaid,Math,82,1,[85],[85],[0.667],[0.793],1.46,False
kPAR,Lang,59,0,[880],[880],[0.9],[0.911],1.811,False
Kali,Closure,64,0,[61],[61],[0.892],[0.857],1.749,False
SOFix,Math,2,2,[137],[137],[1.0],[1.0],2.0,False
kPAR,Lang,57,0,[223],[223],[0.625],[0.609],1.234,False
SimFix,Lang,10,0,[144],[144],[0.571],[0.738],1.309,False
RSRepair,Math,82,0,[63],[63],[0.843],[0.795],1.638,False
Kali,Closure,78,0,[54],[54],[0.906],[0.92],1.826,False
SimFix,Math,44,0,[191],[191],[0.571],[0.655],1.226,False
Jaid,Math,82,1,[82],[82],[1.0],[0.96],1.96,True
Jaid,Closure,40,1,[635],[635],[1.0],[0.953],1.953,True
kPAR,Math,43,0,[158],[158],[0.529],[0.692],1.221,False
Jaid,Lang,61,1,[1780],[1780],[0.692],[0.833],1.525,False
AVATAR,Math,57,0,[99],[99],[1.0],[0.952],1.952,False
TBar,Closure,66,0,[1913],[1913],[0.5],[0.739],1.239,False
ACS,Math,82,0,[82],[82],[0.706],[0.828],1.534,True
Kali,Closure,30,0,[1459],[1459],[0.714],[0.75],1.464,False
RSRepair,Math,28,0,[151],[151],[0.8],[0.727],1.527,False
Jaid,Chart,24,1,[126],[126],[0.974],[0.967],1.941,True
Jaid,Lang,51,3,[677],[677],[0.5],[0.533],1.033,True
CapGen,Math,70,1,[72],[72],[0.75],[0.926],1.676,True
Jaid,Lang,38,1,[872],[872],[0.76],[0.771],1.531,True
TBar,Lang,41,0,[232],[232],[1.0],[0.938],1.938,False
SOFix,Math,82,1,[82],[82],[1.0],[0.96],1.96,True
SOFix,Math,85,1,[198],[198],[0.556],[0.833],1.389,True
DynaMoth,Chart,18,0,[350],[350],[0.786],[0.857],1.643,False
Jaid,Math,85,1,[198],[198],[0.613],[0.892],1.505,False
Arja,Math,98,0,[991],[991],[0.838],[0.946],1.784,True
FixMiner,Math,79,0,[1624],[1624],[1.0],[0.704],1.704,True
CapGen,Lang,59,10,[880],[880],[0.783],[0.83],1.613,False
